customer_id,client_id,client_type,industry,integration_type,portfolio_type,debt_balance,balance_band,debt_age_days,debt_age_band,customer_age_band,region,vulnerability_flag,preferred_contact_channel,account_status,payment_made_flag,one_off_payment_flag,amount_collected,repayment_plan_created_flag,first_instalment_paid_flag,broken_plan_flag,affordability_completed_flag,max_missed_payment_count,customer_recovery_rate
DCUST000013,DSC007,Debt Purchaser,Collections,Batch Upload,Late Arrears,313.78,Medium,169,91-180,45-54,Northern Ireland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000014,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,472.64,Medium,42,31-90,25-34,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000015,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,834.57,Medium,466,365+,55+,South East,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000016,DSC005,Debt Collection Agency,Collections,Hybrid,Legal Collections,1697.63,High,209,181-365,35-44,South East,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000017,DSC009,Legal Collections,Legal,Batch Upload,Late Arrears,3977.45,Very High,32,31-90,18-24,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000018,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,445.17,Medium,59,31-90,25-34,Scotland,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000019,DSC007,Debt Purchaser,Collections,Batch Upload,Recoveries,518.57,Medium,321,181-365,45-54,Wales,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000020,DSC004,Consumer Lender,Financial Services,API,Recoveries,529.69,Medium,745,365+,25-34,South East,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000021,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,70.33,Low,66,31-90,25-34,Yorkshire,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000022,DSC001,Utility Provider,Utilities,API,Recoveries,1986.81,High,390,365+,55+,East Midlands,0,,Broken Plan,1,0,726.55000000000007,1,1,1,1,3,0.3657
DCUST000023,DSC004,Consumer Lender,Financial Services,API,Early Arrears,958.99,Medium,13,0-30,45-54,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000024,DSC005,Debt Collection Agency,Collections,Hybrid,Recoveries,198.63,Low,312,181-365,35-44,East Midlands,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000025,DSC001,Utility Provider,Utilities,API,Recoveries,821.31,Medium,175,91-180,35-44,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000026,DSC001,Utility Provider,Utilities,API,Late Arrears,377.18,Medium,154,91-180,25-34,Scotland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000027,DSC004,Consumer Lender,Financial Services,API,Early Arrears,1037.22,High,83,31-90,35-44,Scotland,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000028,DSC006,Debt Collection Agency,Collections,Batch Upload,Legal Collections,175.17,Low,222,181-365,25-34,Scotland,0,SMS,Paid,1,1,139.32,0,0,0,0,0,0.7953
DCUST000029,DSC009,Legal Collections,Legal,Batch Upload,Legal Collections,4473.55,Very High,94,91-180,25-34,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000030,DSC005,Debt Collection Agency,Collections,Hybrid,Late Arrears,61.69,Low,49,31-90,55+,West Midlands,1,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000031,DSC009,Legal Collections,Legal,Batch Upload,Legal Collections,1423.84,High,258,181-365,35-44,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000032,DSC008,Telecoms,Telecoms,API,Legal Collections,2252.95,High,281,181-365,18-24,South East,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000033,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,468.98,Medium,49,31-90,25-34,West Midlands,0,Email,Paid,1,0,248.46999999999997,1,1,0,0,0,0.5298
DCUST000034,DSC008,Telecoms,Telecoms,API,Recoveries,56.12,Low,325,181-365,35-44,Yorkshire,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000035,DSC007,Debt Purchaser,Collections,Batch Upload,Recoveries,2187.59,High,637,365+,35-44,South West,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000036,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,158.71,Low,67,31-90,35-44,East Midlands,0,Letter,Broken Plan,0,0,0.0,1,0,1,0,1,0.0
DCUST000037,DSC007,Debt Purchaser,Collections,Batch Upload,Recoveries,790.03,Medium,311,181-365,45-54,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000038,DSC008,Telecoms,Telecoms,API,Late Arrears,196.76,Low,93,91-180,25-34,Yorkshire,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000039,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,108.93,Low,577,365+,35-44,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000040,DSC004,Consumer Lender,Financial Services,API,Early Arrears,673.58,Medium,48,31-90,45-54,Scotland,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000041,DSC001,Utility Provider,Utilities,API,Late Arrears,533.41,Medium,328,181-365,35-44,East Midlands,0,SMS,Plan Active,1,0,139.39,1,1,0,1,0,0.2613
DCUST000042,DSC005,Debt Collection Agency,Collections,Hybrid,Recoveries,70.72,Low,160,91-180,18-24,South West,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000043,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,637.87,Medium,73,31-90,35-44,West Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000044,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,247.13,Low,748,365+,55+,Yorkshire,1,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000045,DSC001,Utility Provider,Utilities,API,Late Arrears,547.93,Medium,344,181-365,25-34,Wales,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000046,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,158.08,Low,86,31-90,25-34,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000047,DSC001,Utility Provider,Utilities,API,Recoveries,119.82,Low,194,181-365,25-34,London,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000048,DSC001,Utility Provider,Utilities,API,Late Arrears,911.98,Medium,224,181-365,25-34,South East,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000049,DSC004,Consumer Lender,Financial Services,API,Early Arrears,827.49,Medium,1,0-30,18-24,West Midlands,0,Email,Broken Plan,0,0,0.0,1,0,1,0,4,0.0
DCUST000050,DSC004,Consumer Lender,Financial Services,API,Late Arrears,122.13,Low,105,91-180,35-44,London,0,SMS,Paid,1,1,119.7,0,0,0,0,0,0.9801
DCUST000051,DSC001,Utility Provider,Utilities,API,Legal Collections,90.19,Low,413,365+,18-24,Yorkshire,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000052,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,2800.77,High,143,91-180,25-34,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000053,DSC001,Utility Provider,Utilities,API,Recoveries,2878.77,High,94,91-180,,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000054,DSC003,Consumer Lender,Financial Services,API,Early Arrears,99.0,Low,73,31-90,55+,East Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000055,DSC005,Debt Collection Agency,Collections,Hybrid,Late Arrears,2826.86,High,79,31-90,25-34,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000056,DSC003,Consumer Lender,Financial Services,API,Recoveries,1035.36,High,322,181-365,45-54,East Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000057,DSC008,Telecoms,Telecoms,API,Recoveries,762.66,Medium,175,91-180,25-34,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000058,DSC005,Debt Collection Agency,Collections,Hybrid,Legal Collections,880.72,Medium,208,181-365,35-44,West Midlands,0,SMS,Paid,1,1,360.08,0,0,0,0,0,0.4088
DCUST000059,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,132.52,Low,164,91-180,35-44,West Midlands,1,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000060,DSC007,Debt Purchaser,Collections,Batch Upload,Late Arrears,90.52,Low,99,91-180,25-34,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000061,DSC004,Consumer Lender,Financial Services,API,Recoveries,2990.01,High,208,181-365,25-34,Yorkshire,0,Email,Plan Active,1,0,1829.3899999999996,1,1,0,0,0,0.6118
DCUST000062,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,951.76,Medium,317,181-365,25-34,North West,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000063,DSC005,Debt Collection Agency,Collections,Hybrid,Recoveries,392.22,Medium,136,91-180,18-24,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000064,DSC003,Consumer Lender,Financial Services,API,Early Arrears,445.94,Medium,71,31-90,25-34,North East,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000065,DSC003,Consumer Lender,Financial Services,API,Purchased Debt,475.26,Medium,348,181-365,25-34,South West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000066,DSC001,Utility Provider,Utilities,API,Early Arrears,239.67,Low,14,0-30,45-54,London,0,SMS,Paid,1,1,212.17,0,0,0,0,0,0.8853
DCUST000067,DSC004,Consumer Lender,Financial Services,API,Recoveries,949.74,Medium,199,181-365,35-44,Scotland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000068,DSC005,Debt Collection Agency,Collections,Hybrid,Recoveries,2864.82,High,358,181-365,35-44,Scotland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000069,DSC009,Legal Collections,Legal,Batch Upload,Recoveries,104.36,Low,93,91-180,25-34,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000070,DSC003,Consumer Lender,Financial Services,API,Early Arrears,153.99,Low,13,0-30,25-34,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000071,DSC004,Consumer Lender,Financial Services,API,Late Arrears,121.97,Low,172,91-180,55+,East Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000072,DSC004,Consumer Lender,Financial Services,API,Late Arrears,3470.53,Very High,78,31-90,25-34,Scotland,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000073,DSC003,Consumer Lender,Financial Services,API,Early Arrears,66.27,Low,3,0-30,35-44,West Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000074,DSC005,Debt Collection Agency,Collections,Hybrid,Purchased Debt,231.79,Low,136,91-180,55+,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000075,DSC001,Utility Provider,Utilities,API,Purchased Debt,792.63,Medium,347,181-365,25-34,Wales,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000076,DSC004,Consumer Lender,Financial Services,API,Late Arrears,239.97,Low,161,91-180,45-54,Wales,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000077,DSC005,Debt Collection Agency,Collections,Hybrid,Early Arrears,236.69,Low,25,0-30,35-44,Scotland,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000078,DSC007,Debt Purchaser,Collections,Batch Upload,Recoveries,825.55,Medium,110,91-180,25-34,South East,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000079,DSC003,Consumer Lender,Financial Services,API,Recoveries,2635.35,High,315,181-365,35-44,North West,0,SMS,Paid,1,1,587.61,0,0,0,0,0,0.223
DCUST000080,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,5095.05,Very High,116,91-180,18-24,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000081,DSC001,Utility Provider,Utilities,API,Recoveries,117.88,Low,134,91-180,25-34,South West,0,SMS,Plan Active,1,0,40.0,1,1,0,0,0,0.3393
DCUST000082,DSC007,Debt Purchaser,Collections,Batch Upload,Legal Collections,2942.82,High,172,91-180,25-34,North West,1,Email,Paid,1,1,1124.63,0,0,0,0,0,0.3822
DCUST000083,DSC001,Utility Provider,Utilities,API,Recoveries,82.93,Low,254,181-365,35-44,West Midlands,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000084,DSC004,Consumer Lender,Financial Services,API,Recoveries,347.61,Medium,135,91-180,25-34,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000085,DSC002,Utility Provider,Utilities,Hybrid,Legal Collections,585.72,Medium,601,365+,45-54,South West,1,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000086,DSC008,Telecoms,Telecoms,API,Late Arrears,147.85,Low,74,31-90,35-44,North East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000087,DSC010,Consumer Lender,Financial Services,Hybrid,Late Arrears,2316.74,High,46,31-90,45-54,London,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000088,DSC002,Utility Provider,Utilities,Hybrid,Recoveries,831.55,Medium,875,365+,55+,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000089,DSC008,Telecoms,Telecoms,API,Purchased Debt,131.94,Low,343,181-365,35-44,Scotland,1,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000090,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,1333.32,High,177,91-180,55+,North West,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000091,DSC007,Debt Purchaser,Collections,Batch Upload,Recoveries,1819.56,High,134,91-180,25-34,North West,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000092,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,616.77,Medium,259,181-365,55+,Scotland,0,Email,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000093,DSC006,Debt Collection Agency,Collections,Batch Upload,Purchased Debt,415.26,Medium,193,181-365,45-54,Northern Ireland,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000094,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,504.35,Medium,356,181-365,35-44,Wales,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000095,DSC001,Utility Provider,Utilities,API,Recoveries,3423.34,Very High,318,181-365,45-54,London,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000096,DSC003,Consumer Lender,Financial Services,API,Late Arrears,2071.4,High,157,91-180,35-44,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000097,DSC001,Utility Provider,Utilities,API,Late Arrears,1490.45,High,44,31-90,25-34,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000098,DSC008,Telecoms,Telecoms,API,Late Arrears,836.02,Medium,131,91-180,25-34,Yorkshire,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000099,DSC001,Utility Provider,Utilities,API,Late Arrears,3174.4,Very High,130,91-180,55+,London,0,,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000100,DSC001,Utility Provider,Utilities,API,Legal Collections,1576.49,High,598,365+,18-24,Wales,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000101,DSC005,Debt Collection Agency,Collections,Hybrid,Early Arrears,700.89,Medium,65,31-90,35-44,South East,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000102,DSC003,Consumer Lender,Financial Services,API,Early Arrears,154.07,Low,52,31-90,35-44,West Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000103,DSC008,Telecoms,Telecoms,API,Early Arrears,111.64,Low,92,91-180,25-34,Yorkshire,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000104,DSC001,Utility Provider,Utilities,API,Late Arrears,2003.27,High,99,91-180,25-34,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000105,DSC003,Consumer Lender,Financial Services,API,Early Arrears,173.46,Low,15,0-30,25-34,Scotland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000106,DSC005,Debt Collection Agency,Collections,Hybrid,Early Arrears,163.56,Low,25,0-30,25-34,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000107,DSC009,Legal Collections,Legal,Batch Upload,Legal Collections,4180.37,Very High,888,365+,25-34,Yorkshire,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000108,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,120.66,Low,66,31-90,25-34,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000109,DSC006,Debt Collection Agency,Collections,Batch Upload,Purchased Debt,192.75,Low,854,365+,25-34,South East,0,Letter,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000110,DSC001,Utility Provider,Utilities,API,Recoveries,520.58,Medium,139,91-180,45-54,South West,0,Letter,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000111,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,83.52,Low,222,181-365,18-24,Yorkshire,1,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000112,DSC002,Utility Provider,Utilities,Hybrid,Purchased Debt,1625.87,High,101,91-180,25-34,Yorkshire,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000113,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,812.97,Medium,48,31-90,,London,1,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000114,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,863.4,Medium,20,0-30,25-34,South East,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000115,DSC003,Consumer Lender,Financial Services,API,Early Arrears,87.22,Low,14,0-30,35-44,South West,0,Email,Paid,1,1,78.05,0,0,0,0,0,0.8949
DCUST000116,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,2097.28,High,202,181-365,35-44,Scotland,0,Letter,Paid,1,1,445.99,0,0,0,0,0,0.2127
DCUST000117,DSC005,Debt Collection Agency,Collections,Hybrid,Late Arrears,171.38,Low,80,31-90,25-34,East Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000118,DSC005,Debt Collection Agency,Collections,Hybrid,Late Arrears,566.12,Medium,112,91-180,25-34,Wales,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000119,DSC007,Debt Purchaser,Collections,Batch Upload,Late Arrears,181.44,Low,71,31-90,45-54,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000120,DSC002,Utility Provider,Utilities,Hybrid,Legal Collections,4959.26,Very High,373,365+,18-24,North West,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000121,DSC010,Consumer Lender,Financial Services,Hybrid,Recoveries,1295.48,High,304,181-365,25-34,South West,0,SMS,Paid,1,0,1041.4099999999999,1,1,0,1,0,0.8039
DCUST000122,DSC005,Debt Collection Agency,Collections,Hybrid,Recoveries,2397.29,High,121,91-180,25-34,South West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000123,DSC006,Debt Collection Agency,Collections,Batch Upload,Late Arrears,2724.65,High,133,91-180,25-34,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000124,DSC006,Debt Collection Agency,Collections,Batch Upload,Late Arrears,202.47,Low,175,91-180,55+,Scotland,1,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000125,DSC001,Utility Provider,Utilities,API,Early Arrears,437.05,Medium,139,91-180,35-44,North West,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000126,DSC001,Utility Provider,Utilities,API,Legal Collections,310.69,Medium,232,181-365,25-34,West Midlands,1,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000127,DSC004,Consumer Lender,Financial Services,API,Early Arrears,91.17,Low,3,0-30,35-44,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000128,DSC004,Consumer Lender,Financial Services,API,Purchased Debt,107.61,Low,459,365+,,South East,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000129,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,108.23,Low,62,31-90,35-44,Yorkshire,0,Letter,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000130,DSC001,Utility Provider,Utilities,API,Late Arrears,242.82,Low,244,181-365,25-34,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000131,DSC004,Consumer Lender,Financial Services,API,Early Arrears,201.13,Low,28,0-30,45-54,Scotland,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000132,DSC006,Debt Collection Agency,Collections,Batch Upload,Early Arrears,131.33,Low,22,0-30,45-54,Yorkshire,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000133,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,1978.76,High,70,31-90,18-24,London,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000134,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,72.97,Low,218,181-365,35-44,North West,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000135,DSC010,Consumer Lender,Financial Services,Hybrid,Late Arrears,417.56,Medium,160,91-180,45-54,West Midlands,0,SMS,Paid,1,0,191.89999999999998,1,1,0,0,0,0.4596
DCUST000136,DSC006,Debt Collection Agency,Collections,Batch Upload,Recoveries,147.62,Low,212,181-365,45-54,East Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000137,DSC001,Utility Provider,Utilities,API,Early Arrears,561.9,Medium,23,0-30,25-34,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000138,DSC010,Consumer Lender,Financial Services,Hybrid,Recoveries,1193.84,High,138,91-180,25-34,West Midlands,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000139,DSC001,Utility Provider,Utilities,API,Early Arrears,458.83,Medium,86,31-90,35-44,West Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000140,DSC002,Utility Provider,Utilities,Hybrid,Early Arrears,833.89,Medium,173,91-180,25-34,Wales,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000141,DSC009,Legal Collections,Legal,Batch Upload,Recoveries,657.42,Medium,97,91-180,45-54,Northern Ireland,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000142,DSC001,Utility Provider,Utilities,API,Early Arrears,237.01,Low,30,0-30,25-34,Wales,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000143,DSC008,Telecoms,Telecoms,API,Early Arrears,134.47,Low,49,31-90,18-24,North West,0,Letter,Plan Active,1,0,120.17000000000002,1,1,0,0,0,0.8937
DCUST000144,DSC001,Utility Provider,Utilities,API,Recoveries,857.93,Medium,110,91-180,25-34,Scotland,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000145,DSC001,Utility Provider,Utilities,API,Early Arrears,1519.48,High,42,31-90,25-34,Scotland,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000146,DSC007,Debt Purchaser,Collections,Batch Upload,Purchased Debt,862.78,Medium,530,365+,18-24,West Midlands,0,SMS,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000147,DSC008,Telecoms,Telecoms,API,Early Arrears,464.35,Medium,39,31-90,Unknown,South East,0,SMS,Plan Active,1,0,128.58999999999997,1,1,0,0,0,0.2769
DCUST000148,DSC004,Consumer Lender,Financial Services,API,Late Arrears,308.79,Medium,138,91-180,55+,North West,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
DCUST000149,DSC001,Utility Provider,Utilities,API,Late Arrears,181.25,Low,328,181-365,,East Midlands,0,SMS,Open,0,0,0.0,0,0,0,0,0,0.0
DCUST000150,DSC002,Utility Provider,Utilities,Hybrid,Late Arrears,153.88,Low,138,91-180,35-44,East Midlands,0,Email,No Engagement,0,0,0.0,0,0,0,0,0,0.0
