customer_id,client_id,account_upload_date,portfolio_type,debt_balance,balance_band,debt_age_days,debt_age_band,customer_age_band,region,vulnerability_flag,preferred_contact_channel,account_status
DCUST000073,DSC003,2023-03-27,Early Arrears,66.27,Low,3,0-30,35-44,West Midlands,0,Email,No Engagement
DCUST000074,DSC005,2022-09-17,Purchased Debt,231.79,Low,136,91-180,55+,London,0,SMS,No Engagement
DCUST000075,DSC001,2022-11-25,Purchased Debt,792.63,Medium,347,181-365,25-34,Wales,0,Email,No Engagement
DCUST000076,DSC004,2023-04-30,Late Arrears,239.97,Low,161,91-180,45-54,Wales,0,SMS,No Engagement
DCUST000077,DSC005,2023-02-02,Early Arrears,236.69,Low,25,0-30,35-44,Scotland,0,Email,No Engagement
DCUST000078,DSC007,2023-01-18,Recoveries,825.55,Medium,110,91-180,25-34,South East,0,Email,Open
DCUST000079,DSC003,2022-09-27,Recoveries,2635.35,High,315,181-365,35-44,North West,0,SMS,Paid
DCUST000080,DSC002,2023-05-04,Recoveries,5095.05,Very High,116,91-180,18-24,South East,0,SMS,No Engagement
DCUST000081,DSC001,2022-06-20,Recoveries,117.88,Low,134,91-180,25-34,South West,0,SMS,Plan Active
DCUST000082,DSC007,2022-07-07,Legal Collections,2942.82,High,172,91-180,25-34,North West,1,Email,Paid
DCUST000083,DSC001,2023-04-30,Recoveries,82.93,Low,254,181-365,35-44,West Midlands,0,Email,Open
DCUST000084,DSC004,2022-09-16,Recoveries,347.61,Medium,135,91-180,25-34,London,0,SMS,No Engagement
DCUST000085,DSC002,2022-11-06,Legal Collections,585.72,Medium,601,365+,45-54,South West,1,SMS,No Engagement
DCUST000086,DSC008,2022-11-06,Late Arrears,147.85,Low,74,31-90,35-44,North East,0,SMS,No Engagement
DCUST000087,DSC010,2023-01-18,Late Arrears,2316.74,High,46,31-90,45-54,London,0,SMS,Open
DCUST000088,DSC002,2022-11-21,Recoveries,831.55,Medium,875,365+,55+,South East,0,SMS,No Engagement
DCUST000089,DSC008,2023-02-08,Purchased Debt,131.94,Low,343,181-365,35-44,Scotland,1,SMS,No Engagement
DCUST000090,DSC002,2023-04-14,Late Arrears,1333.32,High,177,91-180,55+,North West,0,SMS,Open
DCUST000091,DSC007,2022-06-26,Recoveries,1819.56,High,134,91-180,25-34,North West,0,Email,No Engagement
DCUST000092,DSC007,2022-11-04,Purchased Debt,616.77,Medium,259,181-365,55+,Scotland,0,Email,Open
DCUST000093,DSC006,2023-01-07,Purchased Debt,415.26,Medium,193,181-365,45-54,Northern Ireland,0,SMS,Open
DCUST000094,DSC002,2022-10-11,Late Arrears,504.35,Medium,356,181-365,35-44,Wales,0,SMS,Open
DCUST000095,DSC001,2022-08-01,Recoveries,3423.34,Very High,318,181-365,45-54,London,0,Email,No Engagement
DCUST000096,DSC003,2023-02-04,Late Arrears,2071.4,High,157,91-180,35-44,North West,0,SMS,No Engagement
DCUST000097,DSC001,2022-08-16,Late Arrears,1490.45,High,44,31-90,25-34,London,0,SMS,No Engagement
DCUST000098,DSC008,2022-08-12,Late Arrears,836.02,Medium,131,91-180,25-34,Yorkshire,0,SMS,No Engagement
DCUST000099,DSC001,2022-11-18,Late Arrears,3174.4,Very High,130,91-180,55+,London,0,,No Engagement
DCUST000100,DSC001,2023-01-19,Legal Collections,1576.49,High,598,365+,18-24,Wales,0,Letter,No Engagement
DCUST000101,DSC005,2022-09-25,Early Arrears,700.89,Medium,65,31-90,35-44,South East,0,SMS,Open
DCUST000102,DSC003,2022-07-01,Early Arrears,154.07,Low,52,31-90,35-44,West Midlands,0,Email,No Engagement
DCUST000103,DSC008,2022-10-16,Early Arrears,111.64,Low,92,91-180,25-34,Yorkshire,0,SMS,No Engagement
DCUST000104,DSC001,2022-12-31,Late Arrears,2003.27,High,99,91-180,25-34,South East,0,SMS,No Engagement
DCUST000105,DSC003,2022-09-17,Early Arrears,173.46,Low,15,0-30,25-34,Scotland,0,SMS,No Engagement
DCUST000106,DSC005,2023-03-13,Early Arrears,163.56,Low,25,0-30,25-34,North West,0,SMS,No Engagement
DCUST000107,DSC009,2023-04-11,Legal Collections,4180.37,Very High,888,365+,25-34,Yorkshire,0,SMS,No Engagement
DCUST000108,DSC002,2022-09-04,Late Arrears,120.66,Low,66,31-90,25-34,North West,0,SMS,No Engagement
DCUST000109,DSC006,2023-03-18,Purchased Debt,192.75,Low,854,365+,25-34,South East,0,Letter,Open
DCUST000110,DSC001,2022-09-17,Recoveries,520.58,Medium,139,91-180,45-54,South West,0,Letter,Open
DCUST000111,DSC007,2023-01-16,Purchased Debt,83.52,Low,222,181-365,18-24,Yorkshire,1,SMS,Open
DCUST000112,DSC002,2022-07-07,Purchased Debt,1625.87,High,101,91-180,25-34,Yorkshire,0,Email,No Engagement
DCUST000113,DSC002,2023-04-19,Early Arrears,812.97,Medium,48,31-90,,London,1,Email,No Engagement
DCUST000114,DSC002,2022-06-16,Early Arrears,863.4,Medium,20,0-30,25-34,South East,0,Email,No Engagement
DCUST000115,DSC003,2023-04-18,Early Arrears,87.22,Low,14,0-30,35-44,South West,0,Email,Paid
DCUST000116,DSC002,2023-02-21,Late Arrears,2097.28,High,202,181-365,35-44,Scotland,0,Letter,Paid
DCUST000117,DSC005,2022-07-15,Late Arrears,171.38,Low,80,31-90,25-34,East Midlands,0,Email,No Engagement
DCUST000118,DSC005,2022-10-16,Late Arrears,566.12,Medium,112,91-180,25-34,Wales,0,Email,No Engagement
DCUST000119,DSC007,2022-11-16,Late Arrears,181.44,Low,71,31-90,45-54,South East,0,SMS,No Engagement
DCUST000120,DSC002,2023-01-14,Legal Collections,4959.26,Very High,373,365+,18-24,North West,0,Email,No Engagement
DCUST000121,DSC010,2022-06-20,Recoveries,1295.48,High,304,181-365,25-34,South West,0,SMS,Paid
DCUST000122,DSC005,2022-08-06,Recoveries,2397.29,High,121,91-180,25-34,South West,0,SMS,No Engagement
DCUST000123,DSC006,2023-04-17,Late Arrears,2724.65,High,133,91-180,25-34,South East,0,SMS,No Engagement
DCUST000124,DSC006,2022-10-30,Late Arrears,202.47,Low,175,91-180,55+,Scotland,1,SMS,No Engagement
DCUST000125,DSC001,2022-09-18,Early Arrears,437.05,Medium,139,91-180,35-44,North West,0,Letter,No Engagement
DCUST000126,DSC001,2023-02-24,Legal Collections,310.69,Medium,232,181-365,25-34,West Midlands,1,Letter,No Engagement
DCUST000127,DSC004,2023-01-12,Early Arrears,91.17,Low,3,0-30,35-44,North West,0,SMS,No Engagement
DCUST000128,DSC004,2023-02-07,Purchased Debt,107.61,Low,459,365+,,South East,0,SMS,No Engagement
DCUST000129,DSC002,2022-10-14,Late Arrears,108.23,Low,62,31-90,35-44,Yorkshire,0,Letter,No Engagement
DCUST000130,DSC001,2022-06-16,Late Arrears,242.82,Low,244,181-365,25-34,West Midlands,0,SMS,No Engagement
DCUST000131,DSC004,2022-07-27,Early Arrears,201.13,Low,28,0-30,45-54,Scotland,0,SMS,Open
DCUST000132,DSC006,2022-08-22,Early Arrears,131.33,Low,22,0-30,45-54,Yorkshire,0,SMS,No Engagement
DCUST000133,DSC002,2022-08-23,Late Arrears,1978.76,High,70,31-90,18-24,London,0,SMS,No Engagement
DCUST000134,DSC002,2023-02-27,Late Arrears,72.97,Low,218,181-365,35-44,North West,0,SMS,No Engagement
DCUST000135,DSC010,2022-11-19,Late Arrears,417.56,Medium,160,91-180,45-54,West Midlands,0,SMS,Paid
DCUST000136,DSC006,2023-04-04,Recoveries,147.62,Low,212,181-365,45-54,East Midlands,0,SMS,No Engagement
DCUST000137,DSC001,2022-11-15,Early Arrears,561.9,Medium,23,0-30,25-34,West Midlands,0,SMS,No Engagement
DCUST000138,DSC010,2023-02-02,Recoveries,1193.84,High,138,91-180,25-34,West Midlands,0,SMS,Open
DCUST000139,DSC001,2022-08-27,Early Arrears,458.83,Medium,86,31-90,35-44,West Midlands,0,Email,No Engagement
DCUST000140,DSC002,2022-06-28,Early Arrears,833.89,Medium,173,91-180,25-34,Wales,0,SMS,No Engagement
DCUST000141,DSC009,2023-05-28,Recoveries,657.42,Medium,97,91-180,45-54,Northern Ireland,0,SMS,No Engagement
DCUST000142,DSC001,2022-07-06,Early Arrears,237.01,Low,30,0-30,25-34,Wales,0,Email,No Engagement
DCUST000143,DSC008,2023-02-28,Early Arrears,134.47,Low,49,31-90,18-24,North West,0,Letter,Plan Active
DCUST000144,DSC001,2023-04-19,Recoveries,857.93,Medium,110,91-180,25-34,Scotland,0,SMS,Open
DCUST000145,DSC001,2023-04-11,Early Arrears,1519.48,High,42,31-90,25-34,Scotland,0,Email,No Engagement
DCUST000146,DSC007,2023-05-21,Purchased Debt,862.78,Medium,530,365+,18-24,West Midlands,0,SMS,No Engagement
DCUST000147,DSC008,2023-05-27,Early Arrears,464.35,Medium,39,31-90,Unknown,South East,0,SMS,Plan Active
DCUST000148,DSC004,2023-03-28,Late Arrears,308.79,Medium,138,91-180,55+,North West,0,Email,No Engagement
DCUST000149,DSC001,2022-06-26,Late Arrears,181.25,Low,328,181-365,,East Midlands,0,SMS,Open
DCUST000150,DSC002,2022-08-16,Late Arrears,153.88,Low,138,91-180,35-44,East Midlands,0,Email,No Engagement
DCUST000151,DSC001,2023-03-30,Late Arrears,2635.82,High,76,31-90,25-34,North West,0,Email,No Engagement
DCUST000152,DSC003,2023-03-28,Late Arrears,941.93,Medium,104,91-180,55+,Scotland,0,Email,No Engagement
DCUST000153,DSC006,2023-02-21,Purchased Debt,7883.07,Very High,804,365+,45-54,Yorkshire,0,Email,No Engagement
DCUST000154,DSC002,2023-02-17,Late Arrears,621.21,Medium,33,31-90,55+,London,1,SMS,No Engagement
DCUST000155,DSC005,2022-12-23,Legal Collections,6245.21,Very High,843,365+,18-24,East Midlands,0,Email,No Engagement
DCUST000156,DSC009,2022-08-03,Purchased Debt,1243.24,High,250,181-365,45-54,North West,0,SMS,No Engagement
DCUST000157,DSC004,2022-07-01,Late Arrears,148.93,Low,37,31-90,25-34,East Midlands,0,Email,Open
DCUST000158,DSC001,2023-05-22,Early Arrears,148.0,Low,41,31-90,25-34,Yorkshire,0,SMS,Paid
DCUST000159,DSC009,2023-03-28,Recoveries,1976.98,High,278,181-365,18-24,West Midlands,0,SMS,No Engagement
DCUST000160,DSC009,2022-06-04,Purchased Debt,533.43,Medium,259,181-365,35-44,South East,0,SMS,No Engagement
DCUST000161,DSC001,2023-01-02,Early Arrears,78.71,Low,19,0-30,35-44,Yorkshire,0,SMS,Broken Plan
DCUST000162,DSC008,2023-03-06,Late Arrears,87.46,Low,270,181-365,25-34,West Midlands,0,Email,No Engagement
DCUST000163,DSC002,2022-09-06,Late Arrears,356.06,Medium,135,91-180,45-54,South East,1,SMS,No Engagement
DCUST000164,DSC001,2023-03-08,Recoveries,135.76,Low,177,91-180,25-34,North West,0,Email,No Engagement
DCUST000165,DSC001,2022-07-25,Late Arrears,1898.98,High,154,91-180,35-44,London,0,SMS,Open
DCUST000166,DSC007,2022-09-11,Purchased Debt,990.14,Medium,345,181-365,25-34,West Midlands,0,Email,Open
DCUST000167,DSC001,2023-05-30,Legal Collections,2463.28,High,721,365+,35-44,East Midlands,0,Letter,No Engagement
DCUST000168,DSC007,2023-02-12,Recoveries,78.68,Low,291,181-365,25-34,South West,0,Email,No Engagement
DCUST000169,DSC002,2022-09-14,Recoveries,3339.1,Very High,173,91-180,18-24,London,0,Email,No Engagement
DCUST000170,DSC003,2022-09-22,Recoveries,60.56,Low,252,181-365,25-34,London,0,Email,Open
DCUST000171,DSC001,2022-06-04,Early Arrears,629.52,Medium,143,91-180,,North West,0,SMS,No Engagement
DCUST000172,DSC005,2022-12-18,Recoveries,798.69,Medium,103,91-180,35-44,South West,0,SMS,Open
DCUST000173,DSC004,2023-05-03,Early Arrears,566.28,Medium,34,31-90,35-44,South West,0,SMS,Paid
DCUST000174,DSC003,2023-02-13,Early Arrears,191.26,Low,17,0-30,45-54,West Midlands,0,SMS,No Engagement
DCUST000175,DSC007,2023-01-27,Purchased Debt,2690.42,High,264,181-365,18-24,Scotland,0,SMS,No Engagement
DCUST000176,DSC004,2022-10-06,Early Arrears,192.18,Low,18,0-30,35-44,West Midlands,0,Letter,No Engagement
DCUST000177,DSC006,2023-02-09,Recoveries,120.32,Low,165,91-180,45-54,Wales,0,Email,No Engagement
DCUST000178,DSC007,2023-02-22,Purchased Debt,50.98,Low,898,365+,25-34,Scotland,1,Letter,No Engagement
DCUST000179,DSC005,2023-04-19,Recoveries,67.28,Low,315,181-365,55+,South East,0,Email,No Engagement
DCUST000180,DSC010,2023-05-26,Early Arrears,282.82,Medium,90,31-90,25-34,South East,0,Email,Paid
DCUST000181,DSC005,2023-01-11,Early Arrears,771.25,Medium,9,0-30,25-34,West Midlands,0,SMS,No Engagement
DCUST000182,DSC002,2022-07-10,Purchased Debt,229.68,Low,125,91-180,18-24,South West,0,SMS,No Engagement
DCUST000183,DSC005,2022-08-21,Legal Collections,527.94,Medium,355,181-365,25-34,Wales,0,Email,Paid
DCUST000184,DSC002,2022-09-26,Recoveries,98.77,Low,388,365+,35-44,Wales,0,Email,No Engagement
DCUST000185,DSC001,2023-05-15,Recoveries,922.84,Medium,229,181-365,35-44,North West,0,SMS,No Engagement
DCUST000186,DSC007,2023-02-13,Purchased Debt,172.21,Low,246,181-365,25-34,South East,0,Letter,No Engagement
DCUST000187,DSC002,2023-01-17,Purchased Debt,2868.5,High,698,365+,18-24,Scotland,0,SMS,Open
DCUST000188,DSC002,2022-09-03,Legal Collections,2338.44,High,368,365+,45-54,Scotland,0,SMS,No Engagement
DCUST000189,DSC010,2022-11-04,Recoveries,200.54,Low,150,91-180,35-44,South East,0,SMS,No Engagement
DCUST000190,DSC003,2023-05-16,Recoveries,58.46,Low,174,91-180,25-34,London,1,SMS,No Engagement
DCUST000191,DSC003,2022-10-20,Late Arrears,157.76,Low,139,91-180,25-34,East Midlands,0,Email,Open
DCUST000192,DSC009,2022-10-14,Legal Collections,682.94,Medium,205,181-365,35-44,South East,0,Email,Paid
DCUST000193,DSC007,2022-10-25,Recoveries,343.66,Medium,162,91-180,25-34,Yorkshire,1,Email,No Engagement
DCUST000194,DSC008,2022-10-14,Early Arrears,77.7,Low,9,0-30,25-34,North East,0,SMS,No Engagement
DCUST000195,DSC004,2022-06-13,Early Arrears,215.27,Low,24,0-30,35-44,Yorkshire,0,SMS,Plan Active
DCUST000196,DSC002,2023-03-27,Legal Collections,1123.92,High,108,91-180,25-34,West Midlands,0,SMS,No Engagement
DCUST000197,DSC001,2023-03-03,Purchased Debt,155.45,Low,282,181-365,25-34,South West,0,SMS,No Engagement
DCUST000198,DSC001,2023-05-10,Early Arrears,550.79,Medium,49,31-90,35-44,London,0,SMS,No Engagement
DCUST000199,DSC001,2022-06-22,Early Arrears,147.22,Low,79,31-90,55+,Scotland,0,SMS,No Engagement
DCUST000200,DSC002,2022-09-19,Legal Collections,728.65,Medium,181,181-365,18-24,East Midlands,0,Email,Open
DCUST000201,DSC007,2022-09-05,Recoveries,523.71,Medium,353,181-365,45-54,London,0,Email,No Engagement
DCUST000202,DSC002,2023-05-18,Purchased Debt,481.27,Medium,535,365+,45-54,East Midlands,0,SMS,No Engagement
DCUST000203,DSC003,2022-11-27,Purchased Debt,2921.93,High,392,365+,45-54,South West,0,SMS,No Engagement
DCUST000204,DSC004,2023-02-18,Late Arrears,849.41,Medium,112,91-180,45-54,South East,0,SMS,No Engagement
DCUST000205,DSC002,2022-06-24,Recoveries,188.92,Low,138,91-180,55+,London,0,SMS,No Engagement
DCUST000206,DSC001,2022-11-05,Recoveries,195.76,Low,197,181-365,35-44,Scotland,0,SMS,No Engagement
DCUST000207,DSC002,2022-06-01,Recoveries,661.73,Medium,223,181-365,25-34,East Midlands,0,Letter,No Engagement
DCUST000208,DSC008,2023-05-25,Legal Collections,206.27,Low,168,91-180,25-34,South East,0,Email,No Engagement
DCUST000209,DSC010,2022-09-04,Recoveries,500.5,Medium,876,365+,Unknown,Wales,0,SMS,Broken Plan
DCUST000210,DSC003,2023-05-11,Early Arrears,68.25,Low,56,31-90,25-34,South East,0,SMS,No Engagement
DCUST000211,DSC004,2022-08-09,Legal Collections,2982.9,High,164,91-180,35-44,East Midlands,0,SMS,Plan Active
DCUST000212,DSC002,2022-08-02,Late Arrears,2076.39,High,43,31-90,35-44,East Midlands,0,Letter,Open
DCUST000213,DSC003,2023-02-16,Late Arrears,813.03,Medium,147,91-180,25-34,Wales,0,SMS,No Engagement
DCUST000214,DSC006,2022-08-29,Late Arrears,758.34,Medium,71,31-90,55+,Yorkshire,0,SMS,No Engagement
DCUST000215,DSC007,2022-11-06,Late Arrears,430.98,Medium,93,91-180,35-44,Scotland,1,SMS,No Engagement
DCUST000216,DSC002,2022-10-17,Early Arrears,301.34,Medium,18,0-30,25-34,South West,0,Email,Open
DCUST000217,DSC001,2023-04-23,Recoveries,859.1,Medium,148,91-180,35-44,North West,0,SMS,Plan Active
DCUST000218,DSC006,2023-05-03,Early Arrears,124.69,Low,86,31-90,35-44,North East,0,SMS,No Engagement
DCUST000219,DSC003,2023-02-15,Legal Collections,1295.25,High,365,181-365,45-54,North West,0,Letter,No Engagement
DCUST000220,DSC009,2023-02-06,Late Arrears,2775.98,High,97,91-180,35-44,Scotland,0,SMS,Plan Active
DCUST000221,DSC003,2022-09-14,Late Arrears,1183.28,High,285,181-365,25-34,North West,0,Email,No Engagement
DCUST000222,DSC001,2022-06-13,Legal Collections,902.0,Medium,860,365+,35-44,Wales,0,,Open
DCUST000223,DSC006,2022-12-04,Recoveries,988.21,Medium,205,181-365,35-44,Scotland,0,Email,No Engagement
DCUST000224,DSC010,2022-06-11,Early Arrears,4250.86,Very High,47,31-90,45-54,London,0,SMS,Open
DCUST000225,DSC004,2023-01-16,Recoveries,1496.01,High,155,91-180,25-34,London,0,Email,Open
DCUST000226,DSC010,2022-11-12,Late Arrears,131.08,Low,77,31-90,18-24,South West,0,SMS,Open
DCUST000227,DSC001,2022-09-08,Late Arrears,1848.62,High,171,91-180,35-44,North East,1,SMS,No Engagement
DCUST000228,DSC002,2023-01-12,Late Arrears,2194.01,High,54,31-90,45-54,West Midlands,0,SMS,No Engagement
DCUST000229,DSC002,2022-07-19,Late Arrears,122.35,Low,55,31-90,35-44,North East,0,SMS,Paid
DCUST000230,DSC003,2022-10-04,Late Arrears,813.06,Medium,141,91-180,55+,South East,0,Email,Paid
DCUST000231,DSC008,2022-06-14,Late Arrears,293.07,Medium,75,31-90,55+,Yorkshire,0,Letter,Paid
DCUST000232,DSC010,2023-04-29,Recoveries,816.24,Medium,896,365+,35-44,South East,0,SMS,Open
DCUST000233,DSC004,2023-02-03,Recoveries,151.5,Low,305,181-365,25-34,London,0,Email,No Engagement
DCUST000234,DSC006,2023-02-15,Purchased Debt,4511.48,Very High,214,181-365,Unknown,Yorkshire,0,SMS,No Engagement
DCUST000235,DSC005,2023-01-04,Recoveries,2759.27,High,99,91-180,18-24,South West,0,Letter,No Engagement
DCUST000236,DSC008,2023-04-17,Late Arrears,1710.69,High,63,31-90,25-34,North West,0,SMS,No Engagement
DCUST000237,DSC001,2022-07-21,Early Arrears,846.2,Medium,66,31-90,45-54,London,0,Letter,No Engagement
