payment_id,customer_id,client_id,payment_date,payment_amount,payment_method,payment_type,payment_status,days_to_payment
PAY0000092,DCUST000291,DSC003,2022-07-15,77.8,Open Banking,One-off,Successful,21
PAY0000093,DCUST000296,DSC003,2023-01-01,154.11,Direct Debit,Plan Instalment,Successful,2
PAY0000094,DCUST000297,DSC002,2022-06-09,189.59,Card,One-off,Successful,1
PAY0000095,DCUST000304,DSC003,2022-12-18,102.45,Open Banking,Plan Instalment,Successful,3
PAY0000096,DCUST000304,DSC003,2023-01-18,98.1,Direct Debit,Plan Instalment,Successful,34
PAY0000097,DCUST000304,DSC003,2023-02-18,104.64,Open Banking,Plan Instalment,Successful,65
PAY0000098,DCUST000304,DSC003,2023-03-18,97.53,Open Banking,Plan Instalment,Successful,93
PAY0000099,DCUST000304,DSC003,2023-04-18,97.73,Open Banking,Plan Instalment,Successful,124
PAY0000100,DCUST000304,DSC003,2023-05-18,95.92,Direct Debit,Plan Instalment,Successful,154
PAY0000101,DCUST000304,DSC003,2023-06-18,102.75,Direct Debit,Plan Instalment,Successful,185
PAY0000102,DCUST000329,DSC008,2022-06-28,27.02,Direct Debit,Plan Instalment,Successful,4
PAY0000103,DCUST000329,DSC008,2022-07-28,26.56,Direct Debit,Plan Instalment,Successful,34
PAY0000104,DCUST000329,DSC008,2022-08-28,25.73,Direct Debit,Plan Instalment,Successful,65
PAY0000105,DCUST000329,DSC008,2022-09-28,26.07,Direct Debit,Plan Instalment,Failed,96
PAY0000106,DCUST000329,DSC008,2022-10-28,27.3,Direct Debit,Plan Instalment,Successful,126
PAY0000107,DCUST000336,DSC005,2022-12-13,247.26,Direct Debit,One-off,Successful,2
PAY0000108,DCUST000372,DSC002,2023-03-15,209.94,Card,One-off,Successful,2
PAY0000109,DCUST000379,DSC008,2022-07-04,166.54,Card,One-off,Successful,3
PAY0000110,DCUST000382,DSC003,2023-04-25,38.03,Direct Debit,Plan Instalment,Successful,1
PAY0000111,DCUST000382,DSC003,2023-05-25,40.54,Open Banking,Plan Instalment,Successful,31
PAY0000112,DCUST000382,DSC003,2023-06-25,38.18,Direct Debit,Plan Instalment,Successful,62
PAY0000113,DCUST000395,DSC002,2023-01-25,205.62,Open Banking,Plan Instalment,Successful,1
PAY0000114,DCUST000404,DSC005,2023-05-30,608.95,Open Banking,One-off,Successful,16
PAY0000115,DCUST000408,DSC007,2022-08-18,160.96,Direct Debit,Plan Instalment,Reversed,11
PAY0000116,DCUST000408,DSC007,2022-09-18,152.33,Open Banking,Plan Instalment,Successful,42
PAY0000117,DCUST000408,DSC007,2022-10-18,162.2,Open Banking,Plan Instalment,Successful,72
PAY0000118,DCUST000408,DSC007,2022-11-18,160.9,Direct Debit,Plan Instalment,Successful,103
PAY0000119,DCUST000418,DSC002,2023-02-02,81.2,Open Banking,Plan Instalment,Successful,12
PAY0000120,DCUST000418,DSC002,2023-03-02,86.8,Direct Debit,Plan Instalment,Successful,40
PAY0000121,DCUST000418,DSC002,2023-04-02,84.87,Card,Plan Instalment,Successful,71
PAY0000122,DCUST000418,DSC002,2023-05-02,79.41,Direct Debit,Plan Instalment,Successful,101
PAY0000123,DCUST000418,DSC002,2023-06-02,81.47,Direct Debit,Plan Instalment,Failed,132
PAY0000124,DCUST000418,DSC002,2023-07-02,84.82,Card,Plan Instalment,Successful,162
PAY0000125,DCUST000421,DSC002,2023-05-19,248.26,Direct Debit,Plan Instalment,Successful,9
PAY0000126,DCUST000425,DSC003,2022-11-27,475.33,Card,One-off,Successful,17
PAY0000127,DCUST000437,DSC001,2022-08-13,31.41,Open Banking,Plan Instalment,Successful,6
PAY0000128,DCUST000437,DSC001,2022-09-13,30.74,Open Banking,Plan Instalment,Successful,37
PAY0000129,DCUST000441,DSC008,2022-06-17,605.62,Card,One-off,Successful,9
PAY0000130,DCUST000448,DSC008,2022-07-13,144.5,Open Banking,One-off,Successful,3
PAY0000131,DCUST000453,DSC001,2022-08-28,138.92,Card,One-off,Successful,2
PAY0000132,DCUST000461,DSC008,2022-12-25,165.62,Open Banking,One-off,Successful,3
PAY0000133,DCUST000466,DSC003,2022-11-28,139.87,Card,One-off,Successful,2
PAY0000134,DCUST000475,DSC004,2023-05-27,313.08,Open Banking,One-off,Successful,3
PAY0000135,DCUST000477,DSC002,2022-08-10,55.33,Direct Debit,Plan Instalment,Failed,13
PAY0000136,DCUST000477,DSC002,2022-09-10,54.32,Direct Debit,Plan Instalment,Successful,44
PAY0000137,DCUST000477,DSC002,2022-10-10,54.57,Open Banking,Plan Instalment,Successful,74
PAY0000138,DCUST000483,DSC005,2023-05-21,327.14,Open Banking,Plan Instalment,Successful,13
PAY0000139,DCUST000491,DSC003,2022-08-01,1252.54,Open Banking,One-off,Successful,1
PAY0000140,DCUST000496,DSC005,2022-11-27,36.99,Direct Debit,Plan Instalment,Successful,2
PAY0000141,DCUST000496,DSC005,2022-12-27,37.48,Direct Debit,Plan Instalment,Successful,32
PAY0000142,DCUST000496,DSC005,2023-01-27,36.21,Direct Debit,Plan Instalment,Successful,63
PAY0000143,DCUST000496,DSC005,2023-02-27,36.63,Card,Plan Instalment,Successful,94
PAY0000144,DCUST000496,DSC005,2023-03-27,36.51,Open Banking,Plan Instalment,Successful,122
PAY0000145,DCUST000496,DSC005,2023-04-27,36.15,Open Banking,Plan Instalment,Successful,153
PAY0000146,DCUST000515,DSC001,2022-11-27,192.46,Open Banking,Plan Instalment,Successful,1
PAY0000147,DCUST000518,DSC010,2022-06-22,203.65,Direct Debit,Plan Instalment,Successful,3
PAY0000148,DCUST000518,DSC010,2022-07-22,193.48,Direct Debit,Plan Instalment,Successful,33
PAY0000149,DCUST000521,DSC004,2022-08-03,173.53,Card,One-off,Successful,1
PAY0000150,DCUST000539,DSC005,2022-08-08,52.17,Card,One-off,Failed,2
PAY0000151,DCUST000541,DSC003,2022-10-04,166.84,Card,One-off,Successful,18
PAY0000152,DCUST000547,DSC008,2023-02-11,106.38,Direct Debit,Plan Instalment,Successful,14
PAY0000153,DCUST000551,DSC004,2023-03-25,106.51,Open Banking,Plan Instalment,Successful,16
PAY0000154,DCUST000551,DSC004,2023-04-25,101.48,Open Banking,Plan Instalment,Successful,47
PAY0000155,DCUST000551,DSC004,2023-05-25,107.16,Direct Debit,Plan Instalment,Successful,77
PAY0000156,DCUST000551,DSC004,2023-06-25,101.21,Direct Debit,Plan Instalment,Successful,108
PAY0000157,DCUST000568,DSC007,2022-10-08,122.95,Open Banking,One-off,Successful,12
PAY0000158,DCUST000575,DSC003,2023-02-04,53.26,Direct Debit,Plan Instalment,Successful,3
PAY0000159,DCUST000575,DSC003,2023-03-04,57.35,Direct Debit,Plan Instalment,Successful,31
PAY0000160,DCUST000589,DSC005,2023-04-06,75.54,Card,One-off,Successful,7
PAY0000161,DCUST000600,DSC002,2023-04-26,572.51,Open Banking,One-off,Failed,1
PAY0000162,DCUST000602,DSC010,2023-05-26,82.42,Card,Plan Instalment,Successful,20
PAY0000163,DCUST000637,DSC004,2023-05-10,58.55,Card,One-off,Successful,3
PAY0000164,DCUST000644,DSC002,2022-08-10,153.86,Open Banking,Plan Instalment,Successful,2
PAY0000165,DCUST000644,DSC002,2022-09-10,156.3,Open Banking,Plan Instalment,Successful,33
PAY0000166,DCUST000644,DSC002,2022-10-10,166.2,Open Banking,Plan Instalment,Successful,63
PAY0000167,DCUST000644,DSC002,2022-11-10,163.35,Direct Debit,Plan Instalment,Successful,94
PAY0000168,DCUST000644,DSC002,2022-12-10,162.55,Direct Debit,Plan Instalment,Successful,124
PAY0000169,DCUST000644,DSC002,2023-01-10,162.43,Direct Debit,Plan Instalment,Successful,155
PAY0000170,DCUST000644,DSC002,2023-02-10,160.33,Card,Plan Instalment,Successful,186
PAY0000171,DCUST000644,DSC002,2023-03-10,159.7,Open Banking,Plan Instalment,Successful,214
PAY0000172,DCUST000644,DSC002,2023-04-10,158.65,Open Banking,Plan Instalment,Successful,245
PAY0000173,DCUST000644,DSC002,2023-05-10,158.07,Open Banking,Plan Instalment,Successful,275
PAY0000174,DCUST000645,DSC003,2022-09-18,112.27,Open Banking,One-off,Successful,3
PAY0000175,DCUST000658,DSC001,2023-03-11,136.15,Open Banking,One-off,Successful,18
PAY0000176,DCUST000673,DSC001,2022-06-10,196.26,Direct Debit,Plan Instalment,Failed,0
PAY0000177,DCUST000673,DSC001,2022-07-10,201.24,Direct Debit,Plan Instalment,Successful,30
PAY0000178,DCUST000673,DSC001,2022-08-10,197.6,Direct Debit,Plan Instalment,Successful,61
PAY0000179,DCUST000673,DSC001,2022-09-10,197.16,Card,Plan Instalment,Successful,92
PAY0000180,DCUST000673,DSC001,2022-10-10,199.74,Direct Debit,Plan Instalment,Successful,122
PAY0000181,DCUST000673,DSC001,2022-11-10,211.71,Direct Debit,Plan Instalment,Successful,153
PAY0000182,DCUST000673,DSC001,2022-12-10,209.84,Direct Debit,Plan Instalment,Successful,183
PAY0000183,DCUST000674,DSC001,2023-04-18,135.03,Direct Debit,Plan Instalment,Successful,13
PAY0000184,DCUST000680,DSC006,2022-11-01,214.82,Direct Debit,One-off,Failed,2
PAY0000185,DCUST000684,DSC004,2022-09-12,62.5,Card,Plan Instalment,Successful,3
PAY0000186,DCUST000684,DSC004,2022-10-12,61.21,Direct Debit,Plan Instalment,Successful,33
PAY0000187,DCUST000684,DSC004,2022-11-12,60.86,Open Banking,Plan Instalment,Successful,64
PAY0000188,DCUST000699,DSC001,2023-03-17,131.88,Direct Debit,Plan Instalment,Successful,2
PAY0000189,DCUST000699,DSC001,2023-04-17,125.32,Open Banking,Plan Instalment,Successful,33
PAY0000190,DCUST000699,DSC001,2023-05-17,136.45,Card,Plan Instalment,Successful,63
PAY0000191,DCUST000699,DSC001,2023-06-17,133.37,Direct Debit,Plan Instalment,Successful,94
PAY0000192,DCUST000723,DSC005,2023-04-04,143.58,Direct Debit,Plan Instalment,Successful,0
PAY0000193,DCUST000723,DSC005,2023-05-04,143.83,Direct Debit,Plan Instalment,Successful,30
PAY0000194,DCUST000723,DSC005,2023-06-04,141.81,Open Banking,Plan Instalment,Failed,61
PAY0000195,DCUST000723,DSC005,2023-07-04,147.23,Card,Plan Instalment,Reversed,91
PAY0000196,DCUST000728,DSC003,2022-11-05,85.95,Open Banking,Plan Instalment,Successful,11
PAY0000197,DCUST000728,DSC003,2022-12-05,86.75,Open Banking,Plan Instalment,Successful,41
PAY0000198,DCUST000728,DSC003,2023-01-05,84.58,Direct Debit,Plan Instalment,Successful,72
PAY0000199,DCUST000728,DSC003,2023-02-05,86.33,Direct Debit,Plan Instalment,Successful,103
PAY0000200,DCUST000728,DSC003,2023-03-05,85.68,Direct Debit,Plan Instalment,Successful,131
PAY0000201,DCUST000728,DSC003,2023-04-05,86.49,Direct Debit,Plan Instalment,Successful,162
PAY0000202,DCUST000728,DSC003,2023-05-05,82.04,Card,Plan Instalment,Successful,192
PAY0000203,DCUST000732,DSC005,2023-05-12,57.8,Direct Debit,Plan Instalment,Successful,5
PAY0000204,DCUST000732,DSC005,2023-06-12,53.43,Card,Plan Instalment,Successful,36
PAY0000205,DCUST000732,DSC005,2023-07-12,54.26,Open Banking,Plan Instalment,Successful,66
PAY0000206,DCUST000735,DSC008,2022-10-22,33.25,Open Banking,Plan Instalment,Successful,1
PAY0000207,DCUST000735,DSC008,2022-11-22,32.35,Open Banking,Plan Instalment,Successful,32
PAY0000208,DCUST000735,DSC008,2022-12-22,31.96,Card,Plan Instalment,Successful,62
PAY0000209,DCUST000735,DSC008,2023-01-22,32.92,Open Banking,Plan Instalment,Successful,93
PAY0000210,DCUST000735,DSC008,2023-02-22,32.15,Direct Debit,Plan Instalment,Successful,124
PAY0000211,DCUST000735,DSC008,2023-03-22,34.06,Direct Debit,Plan Instalment,Successful,152
PAY0000212,DCUST000754,DSC003,2023-01-17,197.06,Direct Debit,Plan Instalment,Successful,1
PAY0000213,DCUST000754,DSC003,2023-02-17,196.89,Direct Debit,Plan Instalment,Failed,32
PAY0000214,DCUST000762,DSC003,2023-05-14,477.43,Open Banking,One-off,Successful,1
PAY0000215,DCUST000764,DSC002,2022-09-08,74.04,Open Banking,Plan Instalment,Successful,1
PAY0000216,DCUST000764,DSC002,2022-10-08,67.72,Direct Debit,Plan Instalment,Successful,31
PAY0000217,DCUST000764,DSC002,2022-11-08,71.59,Direct Debit,Plan Instalment,Reversed,62
PAY0000218,DCUST000780,DSC003,2022-08-03,72.49,,Plan Instalment,Failed,12
PAY0000219,DCUST000780,DSC003,2022-09-03,74.07,Direct Debit,Plan Instalment,Successful,43
PAY0000220,DCUST000780,DSC003,2022-10-03,75.0,Direct Debit,Plan Instalment,Successful,73
PAY0000221,DCUST000780,DSC003,2022-11-03,69.03,Direct Debit,Plan Instalment,Successful,104
PAY0000222,DCUST000780,DSC003,2022-12-03,74.04,Open Banking,Plan Instalment,Successful,134
PAY0000223,DCUST000780,DSC003,2023-01-03,69.38,Card,Plan Instalment,Successful,165
PAY0000224,DCUST000780,DSC003,2023-02-03,71.8,Card,Plan Instalment,Successful,196
PAY0000225,DCUST000780,DSC003,2023-03-03,69.07,Direct Debit,Plan Instalment,Successful,224
PAY0000226,DCUST000782,DSC004,2023-03-14,157.09,Open Banking,One-off,Successful,7
PAY0000227,DCUST000786,DSC001,2022-09-27,160.78,Card,One-off,Successful,1
PAY0000228,DCUST000798,DSC006,2023-05-13,42.43,Direct Debit,One-off,Successful,14
PAY0000229,DCUST000806,DSC009,2023-04-21,91.24,Direct Debit,Plan Instalment,Failed,2
PAY0000230,DCUST000806,DSC009,2023-05-21,88.41,Direct Debit,Plan Instalment,Successful,32
PAY0000231,DCUST000808,DSC004,2022-08-04,98.42,Direct Debit,Plan Instalment,Successful,3
PAY0000232,DCUST000808,DSC004,2022-09-04,93.57,Direct Debit,Plan Instalment,Successful,34
PAY0000233,DCUST000808,DSC004,2022-10-04,97.24,Card,Plan Instalment,Successful,64
PAY0000234,DCUST000810,DSC005,2023-03-07,295.6,Open Banking,Plan Instalment,Successful,3
PAY0000235,DCUST000810,DSC005,2023-04-07,282.07,Direct Debit,Plan Instalment,Successful,34
PAY0000236,DCUST000812,DSC001,2023-01-05,54.25,Card,One-off,Reversed,24
PAY0000237,DCUST000819,DSC010,2023-02-18,183.7,Card,One-off,Failed,3
PAY0000238,DCUST000821,DSC001,2023-02-08,196.82,Card,One-off,Successful,3
PAY0000239,DCUST000827,DSC003,2023-01-26,120.2,Card,One-off,Successful,2
PAY0000240,DCUST000832,DSC002,2022-07-09,134.04,Direct Debit,Plan Instalment,Successful,0
PAY0000241,DCUST000832,DSC002,2022-08-09,139.86,Direct Debit,Plan Instalment,Successful,31
PAY0000242,DCUST000832,DSC002,2022-09-09,145.07,Direct Debit,Plan Instalment,Reversed,62
PAY0000243,DCUST000841,DSC004,2022-11-15,359.21,Open Banking,One-off,Successful,2
PAY0000244,DCUST000845,DSC004,2022-12-05,533.27,Open Banking,One-off,Failed,15
PAY0000245,DCUST000853,DSC001,2022-12-03,158.64,Direct Debit,Plan Instalment,Successful,3
PAY0000246,DCUST000853,DSC001,2023-01-03,168.18,Direct Debit,Plan Instalment,Failed,34
PAY0000247,DCUST000853,DSC001,2023-02-03,160.8,Card,Plan Instalment,Successful,65
PAY0000248,DCUST000853,DSC001,2023-03-03,163.81,Card,Plan Instalment,Successful,93
PAY0000249,DCUST000853,DSC001,2023-04-03,162.97,Direct Debit,Plan Instalment,Successful,124
PAY0000250,DCUST000853,DSC001,2023-05-03,161.32,Direct Debit,Plan Instalment,Successful,154
PAY0000251,DCUST000853,DSC001,2023-06-03,163.35,Direct Debit,Plan Instalment,Successful,185
PAY0000252,DCUST000853,DSC001,2023-07-03,154.76,Card,Plan Instalment,Successful,215
PAY0000253,DCUST000856,DSC005,2023-01-24,130.14,Card,One-off,Failed,8
PAY0000254,DCUST000866,DSC003,2023-02-23,80.03,Card,One-off,Successful,14
PAY0000255,DCUST000867,DSC008,2023-03-11,203.52,Card,One-off,Successful,14
PAY0000256,DCUST000896,DSC001,2022-10-21,64.55,Direct Debit,Plan Instalment,Successful,2
PAY0000257,DCUST000896,DSC001,2022-11-21,60.48,Card,Plan Instalment,Successful,33
PAY0000258,DCUST000896,DSC001,2022-12-21,65.92,Direct Debit,Plan Instalment,Successful,63
PAY0000259,DCUST000896,DSC001,2023-01-21,60.58,Direct Debit,Plan Instalment,Successful,94
PAY0000260,DCUST000900,DSC004,2023-03-04,106.13,Open Banking,Plan Instalment,Successful,4
PAY0000261,DCUST000900,DSC004,2023-04-04,109.72,Open Banking,Plan Instalment,Successful,35
PAY0000262,DCUST000900,DSC004,2023-05-04,106.42,Card,Plan Instalment,Successful,65
PAY0000263,DCUST000903,DSC005,2022-12-18,75.78,Direct Debit,Plan Instalment,Successful,2
PAY0000264,DCUST000903,DSC005,2023-01-18,76.64,Open Banking,Plan Instalment,Reversed,33
PAY0000265,DCUST000927,DSC010,2022-07-20,62.04,Open Banking,Plan Instalment,Successful,7
PAY0000266,DCUST000927,DSC010,2022-08-20,58.26,Direct Debit,Plan Instalment,Successful,38
PAY0000267,DCUST000927,DSC010,2022-09-20,62.73,Direct Debit,Plan Instalment,Successful,69
PAY0000268,DCUST000930,DSC010,2023-05-03,186.74,Direct Debit,One-off,Successful,2
PAY0000269,DCUST000955,DSC005,2022-12-12,209.54,Card,One-off,Successful,2
PAY0000270,DCUST000990,DSC008,2022-12-23,164.95,Card,One-off,Successful,3
PAY0000271,DCUST000994,DSC008,2023-04-04,102.73,Direct Debit,Plan Instalment,Successful,0
PAY0000272,DCUST000994,DSC008,2023-05-04,96.82,Direct Debit,Plan Instalment,Successful,30
PAY0000273,DCUST000994,DSC008,2023-06-04,99.49,Open Banking,Plan Instalment,Successful,61
PAY0000274,DCUST000994,DSC008,2023-07-04,99.89,Direct Debit,Plan Instalment,Successful,91
PAY0000275,DCUST001000,DSC005,2023-01-12,1580.34,Open Banking,One-off,Successful,2
PAY0000276,DCUST001004,DSC009,2023-03-05,107.94,Direct Debit,Plan Instalment,Successful,20
PAY0000277,DCUST001012,DSC010,2023-01-25,64.13,Direct Debit,Plan Instalment,Successful,2
PAY0000278,DCUST001012,DSC010,2023-02-25,64.86,Open Banking,Plan Instalment,Successful,33
PAY0000279,DCUST001012,DSC010,2023-03-25,64.61,Direct Debit,Plan Instalment,Successful,61
PAY0000280,DCUST001012,DSC010,2023-04-25,61.78,Card,Plan Instalment,Successful,92
PAY0000281,DCUST001021,DSC010,2023-04-06,617.4,Open Banking,One-off,Successful,2
PAY0000282,DCUST001029,DSC005,2023-05-24,50.59,Open Banking,One-off,Successful,2
PAY0000283,DCUST001050,DSC008,2022-10-28,38.32,Open Banking,Plan Instalment,Successful,5
PAY0000284,DCUST001050,DSC008,2022-11-28,38.17,Open Banking,Plan Instalment,Successful,36
PAY0000285,DCUST001050,DSC008,2022-12-28,38.81,Card,Plan Instalment,Successful,66
