communication_id,customer_id,client_id,sent_date,channel,message_type,ab_test_group,message_tone,delivered_flag,opened_or_clicked_flag,days_after_upload
COMM0000066,DCUST000032,DSC008,2022-08-02,Email,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000067,DCUST000032,DSC008,2022-08-09,Email,Reminder 1,Not Applicable,Direct,0,0,8
COMM0000068,DCUST000033,DSC002,2022-08-13,Email,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0000069,DCUST000033,DSC002,2022-08-20,SMS,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000070,DCUST000033,DSC002,2022-09-04,SMS,Reminder 2,Not Applicable,Direct,0,0,24
COMM0000071,DCUST000034,DSC008,2022-07-02,SMS,Initial Invite,Not Applicable,Supportive,0,0,2
COMM0000072,DCUST000034,DSC008,2022-07-07,Email,Reminder 1,Not Applicable,Informational,1,0,7
COMM0000073,DCUST000034,DSC008,2022-07-17,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,17
COMM0000074,DCUST000035,DSC007,2023-01-19,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000075,DCUST000035,DSC007,2023-01-31,SMS,Reminder 1,Variant,Supportive,1,0,12
COMM0000076,DCUST000036,DSC002,2023-01-26,Letter,Initial Invite,Not Applicable,Informational,1,1,1
COMM0000077,DCUST000037,DSC007,2023-01-08,SMS,Initial Invite,Variant,Supportive,1,0,2
COMM0000078,DCUST000037,DSC007,2023-01-15,Email,Reminder 1,Not Applicable,Informational,1,0,9
COMM0000079,DCUST000038,DSC008,2023-03-08,Email,Initial Invite,Not Applicable,Direct,1,1,2
COMM0000080,DCUST000038,DSC008,2023-03-12,SMS,Reminder 1,Variant,Supportive,1,1,6
COMM0000081,DCUST000038,DSC008,2023-03-28,SMS,Reminder 2,Variant,Supportive,1,0,22
COMM0000082,DCUST000039,DSC002,2023-04-08,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000083,DCUST000039,DSC002,2023-04-20,Email,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000084,DCUST000040,DSC004,2023-01-09,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000085,DCUST000041,DSC001,2023-05-02,SMS,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000086,DCUST000041,DSC001,2023-05-11,SMS,Reminder 1,Not Applicable,Direct,1,1,9
COMM0000087,DCUST000041,DSC001,2023-05-24,SMS,Reminder 2,Not Applicable,Supportive,1,1,22
COMM0000088,DCUST000042,DSC005,2022-08-01,SMS,Initial Invite,Not Applicable,Direct,1,1,1
COMM0000089,DCUST000042,DSC005,2022-08-12,Email,Reminder 1,Not Applicable,Informational,1,0,12
COMM0000090,DCUST000042,DSC005,2022-08-10,SMS,Reminder 2,Not Applicable,Informational,1,0,10
COMM0000091,DCUST000043,DSC002,2023-05-02,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000092,DCUST000044,DSC007,2023-05-02,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000093,DCUST000044,DSC007,2023-05-10,Email,Reminder 1,Not Applicable,Informational,1,0,10
COMM0000094,DCUST000045,DSC001,2022-08-05,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000095,DCUST000045,DSC001,2022-08-14,Email,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000096,DCUST000046,DSC002,2022-07-05,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000097,DCUST000047,DSC001,2022-10-02,Email,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000098,DCUST000047,DSC001,2022-10-07,SMS,Reminder 1,Not Applicable,Informational,1,0,5
COMM0000099,DCUST000048,DSC001,2022-11-06,SMS,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0000100,DCUST000049,DSC004,2022-09-11,Email,Initial Invite,Not Applicable,Supportive,1,1,0
COMM0000101,DCUST000050,DSC004,2022-10-31,SMS,Initial Invite,Not Applicable,Informational,1,1,0
COMM0000102,DCUST000051,DSC001,2022-08-30,Email,Initial Invite,Not Applicable,Supportive,0,0,2
COMM0000103,DCUST000051,DSC001,2022-09-03,SMS,Reminder 1,Not Applicable,Direct,1,0,6
COMM0000104,DCUST000052,DSC002,2022-07-13,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000105,DCUST000052,DSC002,2022-07-19,SMS,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000106,DCUST000053,DSC001,2023-02-25,SMS,Initial Invite,Control,Direct,1,0,1
COMM0000107,DCUST000053,DSC001,2023-03-08,Email,Reminder 1,Not Applicable,Direct,1,0,12
COMM0000108,DCUST000054,DSC003,2023-05-27,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000109,DCUST000054,DSC003,2023-05-30,SMS,Reminder 1,Not Applicable,Supportive,1,0,5
COMM0000110,DCUST000055,DSC005,2022-10-22,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000111,DCUST000055,DSC005,2022-11-01,Letter,Reminder 1,Not Applicable,Informational,1,0,12
COMM0000112,DCUST000056,DSC003,2022-08-01,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000113,DCUST000056,DSC003,2022-08-07,Letter,Reminder 1,Not Applicable,Informational,1,0,8
COMM0000114,DCUST000056,DSC003,2022-08-16,Letter,Reminder 2,Not Applicable,Informational,1,0,17
COMM0000115,DCUST000056,DSC003,2022-08-31,Agent Referral,Agent Follow-up,Not Applicable,Agent-Assisted,1,0,32
COMM0000116,DCUST000057,DSC008,2022-08-06,SMS,Initial Invite,Not Applicable,Direct,0,0,1
COMM0000117,DCUST000058,DSC005,2022-07-10,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0000118,DCUST000058,DSC005,2022-07-22,SMS,Reminder 1,Not Applicable,Informational,1,1,12
COMM0000119,DCUST000059,DSC002,2022-12-20,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000120,DCUST000060,DSC007,2022-07-23,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000121,DCUST000060,DSC007,2022-07-31,Email,Reminder 1,Not Applicable,Informational,0,0,9
COMM0000122,DCUST000061,DSC004,2022-06-14,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000123,DCUST000061,DSC004,2022-06-21,Email,Reminder 1,Not Applicable,Supportive,1,0,8
COMM0000124,DCUST000061,DSC004,2022-06-29,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,16
COMM0000125,DCUST000062,DSC007,2023-05-15,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000126,DCUST000063,DSC005,2022-10-11,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000127,DCUST000064,DSC003,2022-08-17,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000128,DCUST000065,DSC003,2022-06-13,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000129,DCUST000066,DSC001,2022-07-12,SMS,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0000130,DCUST000067,DSC004,2023-03-31,SMS,Initial Invite,Variant,Supportive,1,0,2
COMM0000131,DCUST000067,DSC004,2023-04-06,SMS,Reminder 1,Not Applicable,Direct,1,0,8
COMM0000132,DCUST000067,DSC004,2023-04-10,Letter,Reminder 2,Not Applicable,Informational,1,0,12
COMM0000133,DCUST000068,DSC005,2022-12-05,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000134,DCUST000068,DSC005,2022-12-12,SMS,Reminder 1,Not Applicable,Direct,1,0,9
COMM0000135,DCUST000069,DSC009,2022-09-20,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000136,DCUST000069,DSC009,2022-10-02,SMS,Reminder 1,Not Applicable,Supportive,1,0,12
COMM0000137,DCUST000070,DSC003,2023-03-05,SMS,Initial Invite,Variant,Supportive,1,0,0
COMM0000138,DCUST000070,DSC003,2023-03-14,SMS,Reminder 1,Control,Direct,1,0,9
COMM0000139,DCUST000071,DSC004,2023-01-03,Email,Initial Invite,Not Applicable,Supportive,0,0,1
COMM0000140,DCUST000071,DSC004,2023-01-14,Letter,Reminder 1,Not Applicable,Informational,1,0,12
COMM0000141,DCUST000072,DSC004,2023-02-07,Email,Initial Invite,Not Applicable,Informational,0,0,1
COMM0000142,DCUST000073,DSC003,2023-03-27,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000143,DCUST000073,DSC003,2023-04-05,Email,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000144,DCUST000074,DSC005,2022-09-18,SMS,Initial Invite,Not Applicable,Supportive,0,0,1
COMM0000145,DCUST000075,DSC001,2022-11-26,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000146,DCUST000075,DSC001,2022-12-06,SMS,Reminder 1,Not Applicable,Supportive,1,0,11
COMM0000147,DCUST000076,DSC004,2023-05-02,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000148,DCUST000077,DSC005,2023-02-03,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000149,DCUST000077,DSC005,2023-02-14,Letter,Reminder 1,Not Applicable,Informational,1,0,12
COMM0000150,DCUST000078,DSC007,2023-01-19,Email,Initial Invite,Not Applicable,Informational,1,1,1
COMM0000151,DCUST000078,DSC007,2023-01-23,SMS,Reminder 1,Variant,Supportive,1,0,5
COMM0000152,DCUST000078,DSC007,2023-02-13,SMS,Reminder 2,Variant,Supportive,1,0,26
COMM0000153,DCUST000079,DSC003,2022-09-28,SMS,Initial Invite,Not Applicable,Direct,1,1,1
COMM0000154,DCUST000079,DSC003,2022-10-08,SMS,Reminder 1,Not Applicable,Informational,1,0,11
COMM0000155,DCUST000079,DSC003,2022-10-07,Email,Reminder 2,Not Applicable,Supportive,1,0,10
COMM0000156,DCUST000080,DSC002,2023-05-04,SMS,Initial Invite,Not Applicable,Informational,0,0,0
COMM0000157,DCUST000080,DSC002,2023-05-13,Email,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000158,DCUST000081,DSC001,2022-06-21,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000159,DCUST000081,DSC001,2022-07-03,SMS,Reminder 1,Not Applicable,Direct,1,1,13
COMM0000160,DCUST000081,DSC001,2022-07-06,SMS,Reminder 2,Not Applicable,Supportive,1,0,16
COMM0000161,DCUST000082,DSC007,2022-07-09,Email,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0000162,DCUST000083,DSC001,2023-05-02,Email,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000163,DCUST000083,DSC001,2023-05-07,SMS,Reminder 1,Not Applicable,Direct,1,1,7
COMM0000164,DCUST000083,DSC001,2023-05-08,SMS,Reminder 2,Not Applicable,Supportive,1,0,8
COMM0000165,DCUST000084,DSC004,2022-09-18,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000166,DCUST000085,DSC002,2022-11-06,SMS,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000167,DCUST000085,DSC002,2022-11-15,Email,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000168,DCUST000086,DSC008,2022-11-06,SMS,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000169,DCUST000086,DSC008,2022-11-18,Email,Reminder 1,Not Applicable,Direct,1,0,12
COMM0000170,DCUST000087,DSC010,2023-01-20,SMS,Initial Invite,Control,Direct,1,1,2
COMM0000171,DCUST000087,DSC010,2023-01-31,Letter,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000172,DCUST000088,DSC002,2022-11-21,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0000173,DCUST000088,DSC002,2022-12-03,SMS,Reminder 1,Not Applicable,Direct,1,0,12
COMM0000174,DCUST000088,DSC002,2022-12-05,SMS,Reminder 2,Not Applicable,Supportive,0,0,14
COMM0000175,DCUST000089,DSC008,2023-02-10,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000176,DCUST000089,DSC008,2023-02-20,SMS,Reminder 1,Not Applicable,Informational,1,0,12
COMM0000177,DCUST000090,DSC002,2023-04-16,SMS,Initial Invite,Not Applicable,Informational,1,1,2
COMM0000178,DCUST000091,DSC007,2022-06-27,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000179,DCUST000091,DSC007,2022-07-06,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0000180,DCUST000091,DSC007,2022-07-12,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,16
COMM0000181,DCUST000092,DSC007,2022-11-04,Email,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000182,DCUST000092,DSC007,2022-11-14,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0000183,DCUST000092,DSC007,2022-11-16,SMS,Reminder 2,Not Applicable,Direct,1,0,12
COMM0000184,DCUST000092,DSC007,2022-12-01,Agent Referral,Agent Follow-up,Not Applicable,Agent-Assisted,1,1,27
COMM0000185,DCUST000093,DSC006,2023-01-08,SMS,Initial Invite,Variant,Supportive,1,1,1
COMM0000186,DCUST000093,DSC006,2023-01-16,SMS,Reminder 1,Control,Direct,1,0,9
COMM0000187,DCUST000094,DSC002,2022-10-11,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0000188,DCUST000094,DSC002,2022-10-24,SMS,Reminder 1,Not Applicable,Informational,1,1,13
COMM0000189,DCUST000095,DSC001,2022-08-03,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000190,DCUST000095,DSC001,2022-08-14,SMS,Reminder 1,Not Applicable,Supportive,1,0,13
COMM0000191,DCUST000095,DSC001,2022-08-13,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,12
COMM0000192,DCUST000096,DSC003,2023-02-05,SMS,Initial Invite,Control,Direct,1,0,1
COMM0000193,DCUST000096,DSC003,2023-02-09,SMS,Reminder 1,Variant,Supportive,1,0,5
COMM0000194,DCUST000096,DSC003,2023-02-15,Email,Reminder 2,Not Applicable,Supportive,1,0,11
COMM0000195,DCUST000097,DSC001,2022-08-16,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0000196,DCUST000098,DSC008,2022-08-13,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000197,DCUST000099,DSC001,2022-11-19,SMS,Initial Invite,Not Applicable,Informational,0,0,1
COMM0000198,DCUST000099,DSC001,2022-11-28,SMS,Reminder 1,Not Applicable,Supportive,1,0,10
COMM0000199,DCUST000100,DSC001,2023-01-20,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000200,DCUST000100,DSC001,2023-01-28,SMS,Reminder 1,Control,Direct,1,0,9
COMM0000201,DCUST000100,DSC001,2023-01-29,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,10
COMM0000202,DCUST000101,DSC005,2022-09-26,SMS,Initial Invite,Not Applicable,Informational,1,1,1
COMM0000203,DCUST000102,DSC003,2022-07-03,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000204,DCUST000102,DSC003,2022-07-09,Email,Reminder 1,Not Applicable,Supportive,1,0,8
COMM0000205,DCUST000103,DSC008,2022-10-18,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000206,DCUST000103,DSC008,2022-10-23,SMS,Reminder 1,Not Applicable,Supportive,1,0,7
COMM0000207,DCUST000104,DSC001,2023-01-01,SMS,Initial Invite,Control,Direct,1,0,1
COMM0000208,DCUST000104,DSC001,2023-01-10,Email,Reminder 1,Not Applicable,Informational,1,0,10
COMM0000209,DCUST000104,DSC001,2023-01-11,SMS,Reminder 2,Variant,Supportive,1,0,11
COMM0000210,DCUST000105,DSC003,2022-09-18,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000211,DCUST000105,DSC003,2022-09-25,SMS,Reminder 1,Not Applicable,Supportive,1,0,8
COMM0000212,DCUST000106,DSC005,2023-03-13,SMS,Initial Invite,Control,Direct,1,0,0
COMM0000213,DCUST000106,DSC005,2023-03-23,SMS,Reminder 1,Control,Direct,1,0,10
COMM0000214,DCUST000107,DSC009,2023-04-13,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000215,DCUST000108,DSC002,2022-09-06,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000216,DCUST000109,DSC006,2023-03-18,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000217,DCUST000109,DSC006,2023-03-27,SMS,Reminder 1,Variant,Supportive,1,0,9
COMM0000218,DCUST000109,DSC006,2023-03-27,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,9
COMM0000219,DCUST000110,DSC001,2022-09-18,Letter,Initial Invite,Not Applicable,Informational,1,1,1
COMM0000220,DCUST000111,DSC007,2023-01-16,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0000221,DCUST000111,DSC007,2023-01-26,Letter,Reminder 1,Not Applicable,Informational,1,0,10
COMM0000222,DCUST000112,DSC002,2022-07-08,Email,Initial Invite,Not Applicable,Direct,1,0,1
COMM0000223,DCUST000112,DSC002,2022-07-18,Letter,Reminder 1,Not Applicable,Informational,1,0,11
COMM0000224,DCUST000113,DSC002,2023-04-21,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000225,DCUST000114,DSC002,2022-06-17,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000226,DCUST000114,DSC002,2022-06-22,SMS,Reminder 1,Not Applicable,Direct,1,0,6
COMM0000227,DCUST000115,DSC003,2023-04-20,Email,Initial Invite,Not Applicable,Informational,1,1,2
COMM0000228,DCUST000115,DSC003,2023-04-27,SMS,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0000229,DCUST000116,DSC002,2023-02-21,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000230,DCUST000116,DSC002,2023-03-06,Email,Reminder 1,Not Applicable,Informational,1,0,13
COMM0000231,DCUST000116,DSC002,2023-03-09,Email,Reminder 2,Not Applicable,Direct,1,1,16
COMM0000232,DCUST000116,DSC002,2023-03-30,Email,Agent Follow-up,Not Applicable,Direct,1,0,37
COMM0000233,DCUST000117,DSC005,2022-07-16,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0000234,DCUST000118,DSC005,2022-10-18,Email,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000235,DCUST000118,DSC005,2022-10-22,SMS,Reminder 1,Not Applicable,Direct,1,0,6
COMM0000236,DCUST000119,DSC007,2022-11-18,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0000237,DCUST000119,DSC007,2022-11-24,Email,Reminder 1,Not Applicable,Informational,1,0,8
COMM0000238,DCUST000120,DSC002,2023-01-16,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000239,DCUST000120,DSC002,2023-01-20,Email,Reminder 1,Not Applicable,Informational,1,0,6
COMM0000240,DCUST000121,DSC010,2022-06-20,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0000241,DCUST000121,DSC010,2022-06-25,Email,Reminder 1,Not Applicable,Direct,1,0,5
COMM0000242,DCUST000122,DSC005,2022-08-08,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0000243,DCUST000122,DSC005,2022-08-14,SMS,Reminder 1,Not Applicable,Direct,1,0,8
COMM0000244,DCUST000123,DSC006,2023-04-17,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0000245,DCUST000123,DSC006,2023-04-26,SMS,Reminder 1,Not Applicable,Informational,0,0,9
COMM0000246,DCUST000123,DSC006,2023-05-11,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,24
COMM0000247,DCUST000124,DSC006,2022-10-31,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0000248,DCUST000124,DSC006,2022-11-06,SMS,Reminder 1,Not Applicable,Direct,1,0,7
COMM0000249,DCUST000125,DSC001,2022-09-20,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000250,DCUST000126,DSC001,2023-02-26,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0000251,DCUST000126,DSC001,2023-03-06,Email,Reminder 1,Not Applicable,Informational,1,0,10
COMM0000252,DCUST000127,DSC004,2023-01-13,SMS,Initial Invite,Variant,Supportive,1,0,1
COMM0000253,DCUST000127,DSC004,2023-01-20,Letter,Reminder 1,Not Applicable,Informational,1,0,8
COMM0000254,DCUST000128,DSC004,2023-02-09,SMS,Initial Invite,Variant,Supportive,1,0,2
COMM0000255,DCUST000128,DSC004,2023-02-14,SMS,Reminder 1,Control,Direct,1,0,7
COMM0000256,DCUST000129,DSC002,2022-10-14,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0000257,DCUST000129,DSC002,2022-10-24,Email,Reminder 1,Not Applicable,Supportive,0,0,10
